"IN_PRESENCA_CN";"IN_PRESENCA_CH";"IN_PRESENCA_LC";"IN_PRESENCA_MT";"NOTA_CN";"NOTA_CH";"NOTA_LC";"NOTA_MT";"IN_STATUS_REDACAO";"NU_NOTA_REDACAO";"COD_MUNICIPIO_RESIDENCIA";"NO_MUNICIPIO_RESIDENCIA";"UF_RESIDENCIA";"ID_DEPENDENCIA_ADM_ESC";"ID_LOCALIZACAO_ESC";"IDADE";"TP_SEXO";"ST_CONCLUSAO";"TP_ESCOLA";"TP_COR_RACA";"IN_BAIXA_VISAO";"IN_CEGUEIRA";"IN_SURDEZ";"IN_DEFICIENCIA_AUDITIVA";"IN_SURDO_CEGUEIRA";"IN_DEFICIENCIA_FISICA";"IN_DEFICIENCIA_MENTAL";"IN_DEFICIT_ATENCAO";"IN_DISLEXIA";"IN_AUTISMO";"Q001";"Q002";"Q003";"Q005";"Q010";"Q011";"Q017"
1;1;1;1;485,2;595,2;562,6;453,1;7;460;1500800;"ANANINDEUA";"PA";"";"";37;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"C";"E";"C";"A";"A";"D";"A"
1;1;1;1;604;643,8;633,1;477,8;7;700;5208707;"GOIANIA";"GO";"";"";19;"F";1;2;2;0;0;0;0;0;0;0;1;0;0;"I";"H";"L";"A";"B";"A";"A"
1;1;1;1;455,5;514,5;496,2;431,8;7;400;5300108;"BRASILIA";"DF";"";"";21;"F";1;1;1;0;0;0;0;0;0;1;0;0;0;"I";"B";"B";"A";"D";"D";"D"
1;1;1;1;682,5;753,2;648,6;786,3;7;680;3113404;"CARATINGA";"MG";"";"";18;"M";1;1;1;0;0;0;0;0;0;0;1;0;0;"E";"H";"H";"A";"A";"A";"A"
1;1;1;1;572,3;633,7;580,6;608,4;7;850;3505708;"BARUERI";"SP";"";"";36;"M";1;1;1;0;0;0;1;0;0;0;0;0;0;"B";"B";"F";"A";"B";"D";"A"
1;1;1;1;483,3;522,9;480,1;531;7;680;5300108;"BRASILIA";"DF";"";"";38;"M";1;1;3;1;0;0;0;0;0;0;0;0;0;"E";"E";"C";"C";"D";"D";"A"
1;1;1;1;510,3;604,4;542,8;527,6;7;480;3115300;"CATAGUASES";"MG";"";"";18;"F";1;2;1;0;0;0;0;0;1;0;0;0;0;"B";"C";"B";"D";"A";"A";"A"
1;1;1;1;533,1;511,7;473,6;424,5;7;580;3106200;"BELO HORIZONTE";"MG";"";"";54;"M";1;1;1;1;0;0;0;0;0;0;0;0;0;"B";"B";"F";"A";"A";"D";"A"
1;1;1;1;678;687,6;659,4;665,7;7;800;2507507;"JOAO PESSOA";"PB";"";"";34;"F";1;2;3;0;0;0;0;0;1;0;0;0;0;"C";"G";"L";"B";"B";"B";"A"
1;1;1;1;473,7;601,8;559,8;466,8;7;720;2304400;"FORTALEZA";"CE";"4";"1";17;"F";2;2;3;0;0;0;0;0;0;0;1;0;0;"I";"B";"H";"A";"D";"D";"D"
1;1;1;1;498,5;601,7;371,8;360,3;7;440;4105805;"COLOMBO";"PR";"";"";49;"M";4;0;1;0;0;0;0;0;1;0;0;0;0;"E";"E";"D";"B";"A";"A";"D"
1;1;1;1;540,8;591,2;571,8;417,1;7;720;4106902;"CURITIBA";"PR";"";"";18;"F";1;1;1;0;0;0;0;0;0;0;1;0;0;"H";"H";"H";"B";"A";"A";"A"
1;1;1;1;598,5;587;557,5;759,9;7;525;3170701;"VARGINHA";"MG";"";"";19;"M";1;2;1;0;0;0;0;0;0;0;0;1;0;"F";"G";"I";"D";"A";"A";"A"
1;1;1;1;529,6;607;571,6;595,9;7;520;3550308;"SAO PAULO";"SP";"";"";40;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"C";"B";"D";"B";"A";"A";"A"
1;1;1;1;612,1;590,9;550,8;462,2;7;600;2307650;"MARACANAU";"CE";"";"";28;"M";1;1;3;1;0;0;0;0;0;0;0;0;0;"E";"C";"D";"D";"A";"A";"A"
1;1;1;1;451,2;590,7;557,7;481,9;7;560;2105302;"IMPERATRIZ";"MA";"";"";30;"M";1;2;3;1;0;0;0;0;0;0;0;0;0;"B";"F";"F";"A";"A";"B";"A"
1;1;1;1;576,8;574,4;472,3;350,2;7;480;3541000;"PRAIA GRANDE";"SP";"";"";59;"F";3;0;1;1;0;0;0;0;0;0;0;0;0;"D";"E";"D";"D";"A";"D";"A"
1;1;1;1;430,9;455,1;489,6;472;7;480;3518800;"GUARULHOS";"SP";"4";"1";17;"F";2;1;3;1;0;0;0;0;0;0;0;0;0;"B";"B";"B";"A";"A";"D";"A"
1;1;1;1;499,1;541,1;492,7;664;7;360;2408102;"NATAL";"RN";"";"";39;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"C";"E";"E";"A";"A";"D";"A"
1;1;1;1;443;553;429;401,4;7;480;4314902;"PORTO ALEGRE";"RS";"";"";24;"F";1;1;1;1;0;0;0;0;0;0;0;0;0;"C";"E";"D";"A";"A";"C";"A"
1;1;1;1;490,2;491,1;432,9;339,8;7;360;3106200;"BELO HORIZONTE";"MG";"";"";30;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"F";"E";"C";"C";"A";"D";"A"
1;1;1;1;554,7;686;636,1;725,4;7;600;2304400;"FORTALEZA";"CE";"";"";47;"M";1;2;1;0;0;0;0;0;1;0;0;0;0;"G";"G";"Q";"A";"A";"B";"A"
1;1;1;1;524;626,2;543,7;499,3;7;440;3550308;"SAO PAULO";"SP";"";"";37;"M";3;0;3;0;0;0;0;0;1;0;0;0;0;"B";"B";"G";"D";"A";"D";"A"
1;1;1;1;529,3;583,9;558,3;475,3;7;683;2927408;"SALVADOR";"BA";"";"";20;"M";4;0;2;0;0;0;1;0;0;0;0;0;0;"E";"E";"E";"A";"A";"D";"A"
1;1;1;1;485,2;605,4;487,2;382,1;7;400;3550308;"SAO PAULO";"SP";"";"";41;"M";1;1;2;0;0;0;0;0;0;1;0;0;0;"B";"B";"B";"A";"A";"D";"A"
1;1;1;1;477,2;458,3;426,2;375,4;7;320;3550308;"SAO PAULO";"SP";"";"";46;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"A";"C";"C";"A";"D";"A"
1;1;1;1;450,9;556,7;518,4;456,8;7;640;3301900;"ITABORAI";"RJ";"";"";22;"F";1;1;2;0;0;0;0;0;1;0;0;0;0;"B";"B";"C";"D";"A";"D";"A"
1;1;1;1;434,2;497,3;534,2;441,7;7;380;2111300;"SAO LUIS";"MA";"";"";40;"M";1;1;0;0;0;0;0;0;1;0;0;0;0;"E";"E";"B";"C";"D";"D";"A"
1;1;1;1;432,3;620,5;541,6;554,3;7;500;3118601;"CONTAGEM";"MG";"2";"1";17;"M";2;1;2;1;0;0;0;0;0;0;0;0;0;"I";"F";"B";"C";"B";"D";"A"
1;1;1;1;498;488,7;473,3;371,9;7;440;3127701;"GOVERNADOR VALADARES";"MG";"";"";25;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"E";"C";"I";"A";"A";"A";"A"
1;1;1;1;400;539,6;563,4;423,2;7;640;3509502;"CAMPINAS";"SP";"";"";22;"F";1;1;1;1;0;0;0;0;0;0;0;0;0;"C";"D";"B";"D";"A";"D";"A"
1;1;1;1;570,9;574,4;543,3;635,1;7;600;2408003;"MOSSORO";"RN";"";"";43;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"B";"I";"A";"B";"A";"A"
1;1;1;1;578,3;670,3;644,3;540,9;7;520;2304400;"FORTALEZA";"CE";"";"";20;"M";1;1;1;1;0;0;0;0;0;0;0;0;0;"C";"C";"F";"D";"A";"D";"A"
1;1;1;1;441,6;499,7;521,9;387,6;7;520;3516309;"FRANCISCO MORATO";"SP";"";"";22;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"I";"E";"B";"C";"D";"D";"D"
1;1;1;1;513;606,6;549,8;470,9;7;480;2908903;"CORACAO DE MARIA";"BA";"";"";24;"M";1;1;2;0;0;0;0;0;1;0;0;0;0;"B";"E";"E";"A";"A";"D";"A"
1;1;1;1;355,2;509;520,9;562,5;7;880;2311306;"QUIXADA";"CE";"";"";32;"F";1;2;2;0;0;0;0;0;1;0;0;0;0;"B";"B";"C";"A";"D";"D";"D"
1;1;1;1;611,6;609,1;529,5;526,9;7;817;2304400;"FORTALEZA";"CE";"";"";21;"M";1;2;3;0;0;0;1;0;0;0;0;0;0;"F";"F";"I";"B";"B";"A";"B"
1;1;1;1;382,7;538,7;467,3;460,5;7;975;3509502;"CAMPINAS";"SP";"";"";37;"M";1;1;3;0;0;0;1;0;0;0;0;0;0;"G";"C";"A";"A";"D";"D";"D"
1;1;1;1;521,6;584,9;521;446,2;7;460;3136702;"JUIZ DE FORA";"MG";"";"";39;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"B";"A";"C";"C";"A";"D";"A"
1;1;1;1;427,8;472,1;489,8;446,9;7;420;3304557;"RIO DE JANEIRO";"RJ";"";"";28;"F";1;1;2;0;0;0;0;0;1;1;0;0;0;"G";"E";"E";"A";"B";"D";"A"
1;1;1;1;674,2;688,2;589;633;7;560;3543402;"RIBEIRAO PRETO";"SP";"";"";20;"M";1;2;1;0;0;0;0;0;0;0;1;0;0;"H";"H";"O";"A";"B";"B";"A"
1;1;1;1;485,3;424,2;423,5;445,8;7;320;2613701;"SAO LOURENCO DA MATA";"PE";"";"";46;"M";1;1;3;1;0;0;0;0;0;0;0;0;0;"B";"A";"D";"A";"D";"D";"D"
1;1;1;1;408,7;346,3;495,5;341,8;7;360;3509502;"CAMPINAS";"SP";"";"";21;"F";1;1;2;0;0;0;0;0;1;0;0;0;0;"I";"E";"D";"C";"A";"D";"A"
1;1;1;1;497,3;634,2;485,8;401,1;7;460;3105608;"BARBACENA";"MG";"";"";36;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"B";"C";"B";"A";"D";"A";"D"
1;1;1;1;483,5;575,6;574,8;474;7;740;4315602;"RIO GRANDE";"RS";"";"";40;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"B";"B";"C";"A";"A";"A";"A"
1;1;1;1;532,6;649,9;510,2;406,5;7;700;2928703;"SANTO ANTONIO DE JESUS";"BA";"";"";24;"M";1;2;1;1;0;0;0;0;0;0;0;0;0;"A";"A";"B";"A";"A";"D";"A"
1;1;1;1;470,5;556,8;522,8;564,8;7;350;4320008;"SAPUCAIA DO SUL";"RS";"";"";58;"F";1;1;1;0;0;1;0;0;0;0;0;0;0;"A";"A";"C";"A";"A";"D";"A"
1;1;1;1;544,4;576,4;581,5;387,8;7;520;2211001;"TERESINA";"PI";"";"";44;"M";1;1;2;1;0;0;0;0;0;0;0;0;0;"I";"I";"D";"D";"A";"D";"A"
1;1;1;1;516,9;590,6;517,6;459,2;7;560;3510500;"CARAGUATATUBA";"SP";"";"";26;"M";1;1;2;0;0;0;0;0;1;0;0;0;0;"I";"C";"C";"C";"A";"D";"A"
1;1;1;1;448,7;603,9;549,1;402,8;7;767;1501402;"BELEM";"PA";"";"";29;"M";1;2;1;0;0;0;1;0;0;0;0;0;0;"G";"E";"B";"A";"C";"D";"B"
1;1;1;1;390,9;460,9;474,4;441,1;7;375;4314100;"PASSO FUNDO";"RS";"";"";26;"M";1;1;1;0;0;0;1;0;0;0;0;0;0;"C";"H";"B";"B";"A";"D";"A"
1;1;1;1;553,9;613,7;524,1;652,1;7;560;2403251;"PARNAMIRIM";"RN";"";"";23;"F";1;1;2;0;0;0;0;0;0;1;0;0;0;"B";"E";"B";"A";"D";"D";"D"
1;1;1;1;481,6;543,2;523,4;391,5;7;480;3106200;"BELO HORIZONTE";"MG";"";"";37;"M";1;1;2;0;0;0;0;0;1;0;0;0;0;"B";"B";"B";"C";"D";"A";"D"
